Analyte;% Recovery
75As;99.9
111Cd;99.5
59Co;95.8
52Cr;92.4
63Cu;97.8
60Ni;87.2
208Pb;89.7
51V;100
205Tl;92.4
66 Zn;81.1
9Be;23.9
